id,Label,loan_amnt,,int_rate,installment,grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,dti,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc
1,0,5000.00 ,36,0.1065,162.87,2,1,24000,1,40878,2,27.65,31048,1,3,0,13648,0.837,9
2,0,2500.00 ,60,0.1527,59.83,3,1,30000,3,40878,2,1,36251,5,3,0,1687,0.094,4
3,0,2400.00 ,36,0.1596,84.33,3,1,12252,2,40878,2,8.72,37196,2,2,0,2956,0.985,10
4,0,10000.00 ,36,0.1349,339.31,3,1,49200,3,40878,2,20,35096,1,10,0,5598,0.21,37
5,0,3000.00 ,60,0.1269,67.79,2,1,80000,3,40878,2,17.94,35065,0,15,0,27783,0.539,38
6,0,5000.00 ,36,0.079,156.46,1,1,36000,3,40878,2,11.2,38292,3,9,0,7963,0.283,12
7,0,7000.00 ,60,0.1596,170.08,3,1,47004,2,40878,2,23.51,38534,1,7,0,17726,0.856,11
8,0,3000.00 ,36,0.1864,109.43,5,1,48000,3,40878,2,5.35,39083,2,4,0,8221,0.875,4
9,0,5600.00 ,60,0.2128,152.39,6,3,40000,3,40878,2,5.55,38078,2,11,0,5210,0.326,13
10,0,5375.00 ,60,0.1269,121.45,2,1,15000,1,40878,2,18.08,38231,0,2,0,9279,0.365,3
11,0,6500.00 ,60,0.1465,153.45,3,3,72000,2,40878,2,16.12,35796,2,14,0,4032,0.206,23
12,0,12000.00 ,36,0.1269,402.54,2,3,75000,3,40878,2,10.78,32782,0,12,0,23336,0.671,34
13,0,9000.00 ,36,0.1349,305.38,3,1,30000,3,40878,2,10.08,38078,1,4,0,10452,0.917,9
14,0,3000.00 ,36,0.0991,96.68,2,1,15000,3,40878,2,12.56,37803,2,11,0,7323,0.431,11
15,0,10000.00 ,36,0.1065,325.74,2,1,100000,3,40878,2,7.06,33359,2,14,0,11997,0.555,29
16,0,1000.00 ,36,0.1629,35.31,4,1,28000,2,40878,2,20.31,39326,1,11,0,6524,0.815,23
17,0,10000.00 ,36,0.1527,347.98,3,1,42000,2,40878,2,18.6,36069,2,14,0,24043,0.702,28
18,0,3600.00 ,36,0.0603,109.57,1,2,110000,2,40878,2,10.52,34182,0,20,0,22836,0.16,42
19,1,6000.00 ,36,0.1171,198.46,2,2,84000,1,40878,2,18.44,37895,0,4,0,0,0.3773,14
