ID,性别,年龄,文化程度,收入情况,还款来源,征信记录,借款用途,网络借贷平台待还余额,成功借款次数,成功还款次数,正常还清次数,逾期（0-15天）还清次数,逾期（15天以上）还清次数,累计借款金额,待还金额,单笔最高借款金额,历史最高负债
127961003,1,30,1,0,5,1,5,0,1,6,4,1,0,13000,0,13000,14454.3
127961005,0,30,0,3,3,0,1,2600,8,68,42,1,0,19360,0,3700,10075.94
127961008,1,26,2,0,10,1,5,0,1,3,3,0,0,11000,11127.33,11000,14836.44
127961009,1,28,0,3,1,0,1,3829,0,0,0,0,0,0,0,0,0
127961010,1,28,1,5,9,0,1,0,2,9,5,1,0,12797,9925.48,7797,15213.65
127961012,1,20,0,3,1,0,1,0,2,15,12,1,0,2792,948.66,2250,3059.19
127961014,1,45,0,3,3,0,6,0,1,1,1,0,0,1000,0,1000,1163.33
127961015,1,28,0,3,1,0,1,0,1,3,2,1,0,1800,0,1800,2127.77
127961016,1,29,2,4,9,0,4,76062,7,39,29,1,0,44500,3149.56,11000,22012.51
127961018,1,44,0,3,9,0,1,5000,2,4,3,1,0,15600,6824.71,7800,10605.6
127961019,1,36,0,4,3,0,6,0,4,16,15,1,0,6500,0,3500,1768.26
127961020,1,32,0,4,3,0,8,0,1,2,1,1,0,5400,4247.88,5400,6371.82
127961022,0,23,1,2,9,0,3,1908,5,11,10,1,0,11612,4589.1,5000,6824.34
127961026,0,24,2,2,9,0,2,0,3,28,18,1,0,10800,3441.75,5200,6603.33
127961028,1,22,0,3,9,0,4,0,11,22,21,0,0,13748,0,2400,3504.6
127961031,1,40,0,3,9,0,1,0,1,18,13,1,1,4288,0,4288,5808.32
127961032,1,42,0,4,3,0,2,0,7,31,24,1,0,7895,1358.86,1800,3573.51
127961034,1,20,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0
127961036,1,30,1,2,9,0,1,0,4,33,6,1,0,10931,1744.02,4400,5609.37
127961038,1,27,0,3,9,0,3,0,7,9,7,1,0,3812,0,2000,2346.78
127961041,0,24,0,3,3,0,6,0,1,1,1,0,0,10000,11470.91,10000,12513.72
127961043,1,18,0,3,3,0,1,0,1,1,1,0,0,1000,0,1000,0
127961045,1,33,1,5,3,0,1,0,6,32,32,0,0,16208,2434.24,4606,7848.26
127961046,1,28,0,4,3,2,1,0,1,11,11,0,0,12000,1111.61,12000,13339.32
127961053,1,41,0,3,7,0,1,0,3,17,17,0,0,4500,2164.12,2000,4705.06
127961056,1,24,1,2,9,0,1,15000,12,63,56,1,0,15832,5587.42,3664,10742.67
127961058,1,36,0,3,9,0,3,0,8,43,42,0,0,11820,2157.05,3000,4469.94
127961059,1,22,0,4,3,0,1,0,1,3,3,0,0,4050,2389.41,4050,4778.82
127961060,1,36,0,3,1,0,2,0,4,18,17,1,0,7357,0,2896,4438.46
127961062,1,21,0,2,9,0,3,0,2,9,6,1,1,1050,0,550,1118.08
127961063,1,27,0,3,9,0,2,20323,0,0,0,0,0,0,0,0,0
127961064,1,27,0,3,3,0,2,1100,1,2,1,1,0,2600,0,2600,3419.96
