ID,性别,性别2,年龄,注册时间,文化程度,文化程度2,毕业院校,学习形式,征信记录,借款用途,还款来源,工作信息,收入情况,收入情况2,网络借贷平台待还余额,成功借款次数,成功还款次数,正常还清次数,逾期（0-15天）还清次数,逾期（15天以上）还清次数,资金运用情况,其他事项,累计借款金额,待还金额,单笔最高借款金额,历史最高负债
127914893,男,1,36,2016/12/8,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,5,54,45,9,0,日常消费,暂无,9574,0,2485,8560.36
127914895,男,1,31,2017/12/12,无,1,无,无,无逾期,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,1,1,1,0,0,日常消费,暂无,2500,0,2500,3399.06
127914902,女,2,28,2015/4/11,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,2000-5000（含2000）,2,"152,362.00",8,12,12,0,0,日常消费,暂无,12500,0,12500,15032.92
127914903,男,1,25,2016/4/11,专科,2,河南信息统计职业学院,普通,暂未提供,医疗,薪资收入,暂未提供,5000-8000（含5000）,3,"29,116.00",14,38,33,1,0,医疗,暂无,14105,1137.04,1850,4146.2
127914905,男,1,25,2017/6/10,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,1,3,3,0,0,日常消费,暂无,1000,0,1000,1146.72
127914907,女,2,34,2017/11/1,无,1,无,无,暂未提供,装修,经营收入,私营业主,5000-8000（含5000）,3,暂未提供,1,3,2,1,0,装修,暂无,1500,0,1500,1770.38
127914908,女,2,23,2017/8/6,本科,3,重庆人文科技学院,普通,暂未提供,生产经营,薪资收入,暂未提供,15000及以上,5,"36,698.00",2,21,21,0,0,生产经营,暂无,16400,0,10000,15962.5
127914909,女,2,28,2017/7/7,无,1,无,无,暂未提供,生产经营,经营收入,私营业主,2000-5000（含2000）,2,"22,706.00",3,12,11,1,0,生产经营,暂无,10362,4764.34,4000,8011.65
127914910,男,1,27,2018/3/3,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,4,"9,206.00",11,30,28,2,0,日常消费,暂无,24300,7739.91,10000,13597.74
127914911,男,1,39,2015/9/8,无,1,无,无,暂未提供,装修,个人存款,私营业主,15000及以上,5,暂未提供,4,24,16,8,0,装修,暂无,21000,0,6000,6321.03
