ID,性别,年龄,注册时间,文化程度,毕业院校,学习形式,征信记录,借款用途,还款来源,工作信息,收入情况,网络借贷平台待还余额,成功借款次数,成功还款次数,正常还清次数,逾期（0-15天）还清次数,逾期（15天以上）还清次数,资金运用情况,其他事项,累计借款金额,待还金额,单笔最高借款金额,历史最高负债
127961003,男,30,2017/07/14,专科(高职),应天职业技术学院,普通,有逾期,信用卡,日常消费,薪资收入,私营业主,5000-8000（含5000）,1,6,4,2,0,日常消费,暂无,13000.00,0.00,13000.00,14454.30
127961005,女,30,2016/09/09,无,无,无,暂未提供,日常消费,经营收入,私营业主,5000-8000（含5000）,"2,600.00",8,68,42,18,0,日常消费,暂无,19360.00,0.00,3700.00,10075.94
127961008,男,26,2018/06/04,本科,成都理工大学广播影视学院,普通,有逾期,信用卡,医疗,薪资收入,暂未提供,5000-8000（含5000）,1,3,3,0,0,医疗,暂无,11000.00,11127.33,11000.00,14836.44
127961009,男,28,2016/01/21,无,无,无,暂未提供,日常消费,个人存款,暂未提供,5000-8000（含5000）,"3,829.00",0,0,0,0,0,日常消费,暂无,0.00,0.00,0.00,0.00
127961010,男,28,2017/09/24,专科,浙江工商职业技术学院,普通,暂未提供,日常消费,薪资收入,私营业主,15000及以上,暂未提供,2,9,5,4,0,日常消费,暂无,12797.00,9925.48,7797.00,15213.65
127961012,男,20,2016/06/24,无,无,无,暂未提供,日常消费,个人存款,暂未提供,5000-8000（含5000）,暂未提供,2,15,12,3,0,日常消费,暂无,2792.00,948.66,2250.00,3059.19
127961014,男,45,2017/07/13,无,无,无,暂未提供,装修,经营收入,暂未提供,5000-8000（含5000）,暂未提供,1,1,1,0,0,装修,暂无,1000.00,0.00,1000.00,1163.33
127961015,男,28,2014/09/11,无,无,无,暂未提供,日常消费,个人存款,私营业主,5000-8000（含5000）,暂未提供,1,3,2,1,0,日常消费,暂无,1800.00,0.00,1800.00,2127.77
127961016,男,29,2015/04/26,本科,石家庄铁道大学四方学院,普通,暂未提供,兼职创业,薪资收入,暂未提供,8000-15000（含8000）,"76,062.00",7,39,29,10,0,兼职创业,暂无,44500.00,3149.56,11000.00,22012.51
127961018,男,44,2017/10/10,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,"5,000.00",2,4,3,1,0,日常消费,暂无,15600.00,6824.71,7800.00,10605.60
127961019,男,36,2015/08/26,无,无,无,暂未提供,装修,经营收入,私营业主,8000-15000（含8000）,暂未提供,4,16,15,1,0,装修,暂无,6500.00,0.00,3500.00,1768.26
127961020,男,32,2017/11/05,无,无,无,暂未提供,生产经营,经营收入,暂未提供,8000-15000（含8000）,暂未提供,1,2,1,1,0,生产经营,暂无,5400.00,4247.88,5400.00,6371.82
127961022,女,23,2017/01/27,专科,大连教育学院,成人,暂未提供,医疗,薪资收入,私营业主,2000-5000（含2000）,"1,908.00",5,11,10,1,0,医疗,暂无,11612.00,4589.10,5000.00,6824.34
127961026,女,24,2015/10/05,本科,四川大学锦城学院,普通,暂未提供,旅游,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,3,28,18,10,0,旅游,暂无,10800.00,3441.75,5200.00,6603.33
127961028,男,22,2016/08/15,无,无,无,暂未提供,兼职创业,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,11,22,21,0,0,兼职创业,暂无,13748.00,0.00,2400.00,3504.60
127961031,男,40,2016/04/11,无,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,1,18,13,3,2,日常消费,暂无,4288.00,0.00,4288.00,5808.32
127961032,男,42,2017/07/24,无,无,无,暂未提供,旅游,经营收入,暂未提供,8000-15000（含8000）,暂未提供,7,31,24,7,0,旅游,暂无,7895.00,1358.86,1800.00,3573.51
127961034,男,20,2017/05/24,无,无,无,暂未提供,日常消费,薪资收入,私营业主,2000-5000（含2000）,暂未提供,0,0,0,0,0,日常消费,暂无,0.00,0.00,0.00,0.00
127961036,男,30,2016/07/19,专科,广西工程职业学院,普通,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,暂未提供,4,33,6,26,0,日常消费,暂无,10931.00,1744.02,4400.00,5609.37
127961038,男,27,2017/06/11,无,无,无,暂未提供,医疗,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,7,9,7,2,0,医疗,暂无,3812.00,0.00,2000.00,2346.78
127961041,女,24,2018/08/19,无,无,无,暂未提供,装修,经营收入,暂未提供,5000-8000（含5000）,暂未提供,1,1,1,0,0,装修,暂无,10000.00,11470.91,10000.00,12513.72
127961043,男,18,2018/02/15,无,无,无,暂未提供,日常消费,经营收入,暂未提供,5000-8000（含5000）,暂未提供,1,1,1,0,0,日常消费,暂无,1000.00,0.00,1000.00,0.00
127961045,男,33,2017/05/26,专科,黑龙江中医药大学,普通,暂未提供,日常消费,经营收入,暂未提供,15000及以上,暂未提供,6,32,32,0,0,日常消费,暂无,16208.00,2434.24,4606.00,7848.26
127961046,男,28,2017/08/29,无,无,无,无逾期,日常消费,经营收入,暂未提供,8000-15000（含8000）,暂未提供,1,11,11,0,0,日常消费,暂无,12000.00,1111.61,12000.00,13339.32
127961053,男,41,2018/01/02,无,无,无,暂未提供,日常消费,投资收入,暂未提供,5000-8000（含5000）,暂未提供,3,17,17,0,0,日常消费,暂无,4500.00,2164.12,2000.00,4705.06
127961056,男,24,2016/08/11,专科,巴音郭楞职业技术学院,普通,暂未提供,日常消费,薪资收入,公务员,2000-5000（含2000）,"15,000.00",12,63,56,7,0,日常消费,暂无,15832.00,5587.42,3664.00,10742.67
127961058,男,36,2017/05/04,无,无,无,暂未提供,医疗,薪资收入,暂未提供,5000-8000（含5000）,暂未提供,8,43,42,0,0,医疗,暂无,11820.00,2157.05,3000.00,4469.94
