ID,label,sex,age,edu_lv,credit_rec,inc,loan_suc,repay_suc,repay_time,dlqin0,loan_position,remen_mun,max_loan,max_debt
6510,0,1,33,3,2,5,4,15,15,0,9761,5582.57,6500,8838.02
6511,0,1,33,1,2,4,0,0,0,0,0,0,0,0
6512,0,1,25,1,2,5,0,0,0,0,0,0,0,0
6513,0,1,33,1,2,3,2,10,9,1,3100,1773.75,2500,3399.42
6514,0,1,23,1,2,3,12,88,79,9,14893,3505.34,3143,6602.17
6515,0,1,43,1,2,3,14,84,84,0,46724,11381.17,7048,25596.18
6516,0,1,24,3,1,3,1,2,2,0,5700,4484,5700,6726
6517,0,1,38,1,2,2,12,35,35,0,41900,6610.85,10000,12977.26
6518,0,0,33,1,2,4,0,0,0,0,0,0,0,0
6519,0,1,21,1,2,4,7,34,34,0,10303,2922.69,2820,7167.13
6520,0,0,42,1,2,2,4,22,22,0,20075,371.52,8600,10129.26
6521,0,1,19,1,2,2,1,2,2,0,1500,544.99,1500,1634.97
6522,0,1,21,1,2,3,0,0,0,0,0,0,0,0
6523,0,1,26,1,2,2,6,41,41,0,9300,3009.16,2800,7468.01
6524,0,0,19,1,2,2,1,12,10,2,2500,0,2500,2695.33
6525,0,1,23,1,2,3,0,0,0,0,0,0,0,0
6526,0,1,35,1,2,4,14,85,84,1,64574,22321.93,16231,26181.85
6527,0,1,35,1,2,4,11,49,47,2,14419,0,4900,6161.59
6528,0,1,30,1,2,3,0,0,0,0,0,0,0,0
6529,0,0,34,1,2,3,1,4,4,0,6000,4998.32,6000,8159.94
6530,0,0,30,1,2,2,6,26,17,8,13103,5637.82,4000,6982.48
6531,0,0,30,1,2,3,0,0,0,0,0,0,0,0
6532,0,0,29,3,2,3,4,24,3,21,9932,0,5000,5630.76
6533,0,1,52,1,2,3,2,15,14,1,6000,1588.5,4000,4794.86
6534,0,0,31,3,2,4,2,15,15,0,18580,0,14000,15992.64
6535,0,0,39,1,2,3,5,25,18,7,7555,2075.16,3500,4326.6
