Id,Probability
1,0.831638613
2,0.135743873
3,0.138629267
4,0.058293515
5,0.220837780
6,0.516935015
7,0.087801849
8,0.016280549
9,0.020930517
10,0.623198684
11,0.043035298
12,0.000000000
13,0.074384382
14,0.048013254
15,0.195120602
16,0.048805623
17,0.459790815
18,0.130944515
19,0.529475365
20,0.097116859
21,0.259863843
22,0.085509105
23,0.096745255
24,0.554008187
25,0.121655742
26,0.064161664
27,0.198354983
28,0.000000000
29,0.023003268
30,0.000000000
31,0.072415125
32,0.008521355
33,0.000325525
34,0.011477478
35,0.019773689
36,0.699076086
37,0.706886857
38,0.188563089
39,0.026068724
40,0.041990326
41,0.040793054
42,0.000000000
43,0.017510859
44,0.259934361
45,0.002086431
46,0.075992712
47,0.016152445
48,0.042495112
49,0.024821639
50,0.039696923
51,0.199045277
52,0.000000000
53,0.732843767
54,0.619161660
55,0.633749560
56,0.136859489
57,0.144196092
58,0.169464386
59,0.000000000
60,0.320932228
61,0.004343685
62,0.303044546
63,0.000325525
64,0.249264654
65,0.235904552
66,0.000325525
67,0.009818114
68,0.131919247
69,0.000000000
70,0.218744195
71,0.010994061
72,0.150930191
73,0.004563734
74,0.795507535
75,0.050613619
76,0.164117484
77,0.000000000
78,0.021717725
79,0.000000000
80,0.376762882
81,0.041284074
82,0.010451995
83,0.012073636
84,0.002671877
85,0.000000000
86,0.099749258
87,0.011949266
88,0.233278310
89,0.563443235
90,0.198521899
91,0.000325525
92,0.011832904
93,0.136230638
94,0.011849946
95,0.044332890
96,0.483270592
97,0.243262670
98,0.603845447
99,0.269342514
100,0.174551919
101,0.080697880
102,0.061480387
103,0.185718199
104,0.407353863
105,0.010208240
106,0.074396454
107,0.019311659
108,0.241337654
109,0.101476930
110,0.169617104
111,0.437904535
112,0.000000000
113,0.189159737
114,0.177139266
115,0.254610003
116,0.097719775
117,0.077949002
118,0.508053245
119,0.052047994
120,0.311023356
121,0.083472266
122,0.055545037
123,0.011086702
124,0.760856031
125,0.580402894
126,0.002327047
127,0.547458934
128,0.000000000
129,0.649957694
130,0.075727917
131,0.132081999
132,0.000000000
133,0.000000000
134,0.171117282
135,0.019170329
136,0.075986372
137,0.006504538
138,0.056197395
139,0.465050060
140,0.000325525
141,0.023019831
142,0.000000000
143,0.094481608
144,0.042091104
145,0.000000000
146,0.005167840
147,0.019461154
148,0.025517091
149,0.041792422
150,0.777041808
151,0.083186125
152,0.072526396
153,0.039416366
154,0.019749458
155,0.000325525
156,0.275449971
157,0.006003581
158,0.060254488
159,0.026362854
160,0.569292368
161,0.889335402
162,0.513525928
163,0.001734865
164,0.019534075
165,0.034254971
166,0.107154777
167,0.155664674
168,0.283799671
169,0.014671969
170,0.081783937
171,0.000325525
172,0.657542157
173,0.031188392
174,0.059993405
175,0.003422160
176,0.586081226
177,0.077330944
178,0.014425078
179,0.021651440
180,0.068693999
181,0.094114754
182,0.839366974
183,0.667383516
184,0.024904541
185,0.000000000
186,0.160688473
187,0.113530323
188,0.005185799
189,0.037019463
190,0.060417806
191,0.444129306
192,0.611934744
193,0.124588658
194,0.165516474
195,0.007639085
196,0.832009352
197,0.143647425
198,0.027753902
199,0.625783351
200,0.000000000
201,0.020150223
202,0.025374316
203,0.186257062
204,0.002678400
205,0.639187489
206,0.042753829
207,0.052947950
208,0.002287574
209,0.408664401
210,0.093675742
211,0.099411675
212,0.862174243
213,0.094546491
214,0.024276675
215,0.250576641
216,0.582912761
217,0.039037701
218,0.012583815
219,0.002244125
220,0.111831169
221,0.088808153
222,0.007691203
223,0.220461836
224,0.028568332
225,0.304963900
226,0.019695628
227,0.074208272
228,0.017336384
229,0.136988738
230,0.014727276
231,0.002648954
232,0.850490961
233,0.108311954
234,0.535024700
235,0.042148571
236,0.131261496
237,0.014021108
238,0.017517284
239,0.272742401
240,0.000325525
241,0.041180785
242,0.639738648
243,0.069739142
244,0.098630729
245,0.170663163
246,0.113450857
247,0.295645862
248,0.000325525
249,0.125211134
250,0.174160982
251,0.000000000
252,0.032253775
253,0.002829205
254,0.000325525
255,0.000325525
256,0.005700375
257,0.052933551
258,0.109586470
259,0.253947960
260,0.065035374
261,0.030570588
262,0.284719442
263,0.145664324
264,0.000325525
265,0.022319062
266,0.019510164
267,0.524831724
268,0.207580626
269,0.019825684
270,0.281903569
271,0.092080224
272,0.001776249
273,0.000000000
274,0.020313969
275,0.019784853
276,0.028315191
277,0.000000000
278,0.000000000
279,0.216425381
280,0.290670102
281,0.040123982
282,0.004257060
283,0.385624135
284,0.067740721
285,0.115411982
286,0.000325525
287,0.406859795
288,0.002244125
289,0.021207296
290,0.218727576
291,0.126047402
292,0.065442719
293,0.018818202
294,0.481162514
295,0.007691203
296,0.785113076
297,0.381340301
298,0.001255813
299,0.195084193
300,0.000000000
301,0.115703430
302,0.067971448
303,0.371468739
304,0.216645801
305,0.005107889
306,0.242109052
307,0.075860325
308,0.278232009
309,0.215729699
310,0.010494242
311,0.250467580
312,0.036718398
313,0.049586395
314,0.016782863
315,0.310754774
316,0.177159042
317,0.000000000
318,0.000325525
319,0.758170236
320,0.096365769
321,0.038606831
322,0.000325525
323,0.010260264
324,0.239880961
325,0.263848618
326,0.000000000
327,0.006622997
328,0.043048713
329,0.002577469
330,0.000325525
331,0.076635090
332,0.017552691
333,0.792543479
334,0.457143360
335,0.037889920
336,0.036761160
337,0.051143676
338,0.024880278
339,0.214943104
340,0.141146512
341,0.191338383
342,0.131942875
343,0.797705434
344,0.002652072
345,0.013833033
346,0.262403574
347,0.020813926
348,0.011455307
349,0.503037193
350,0.107889704
351,0.002840793
352,0.000000000
353,0.014257176
354,0.745167698
355,0.058463927
356,0.095276236
357,0.041000840
358,0.014440790
359,0.171992546
360,0.132924328
361,0.000000000
362,0.227792383
363,0.071088360
364,0.006218592
365,0.163422169
366,0.160551716
367,0.621246669
368,0.050409299
369,0.161001880
370,0.355841004
371,0.206468484
372,0.693271049
373,0.606889553
374,0.115066309
375,0.123327461
376,0.120197295
377,0.074287926
378,0.885472323
379,0.074940156
380,0.167555269
381,0.243138439
382,0.257493277
383,0.285161979
384,0.642508755
385,0.177861567
386,0.403162820
387,0.076184501
388,0.151055705
389,0.174564197
390,0.098305701
391,0.035170336
392,0.465025614
393,0.005766203
394,0.002682923
395,0.249334008
396,0.002327047
397,0.478730142
398,0.010185358
399,0.009197828
400,0.259618732
401,0.000000000
402,0.045752076
403,0.143196469
404,0.926499634
405,0.343661723
406,0.112589519
407,0.006548332
408,0.305567617
409,0.210892968
410,0.067361973
411,0.091766697
412,0.042468403
413,0.038794805
414,0.112035894
415,0.265593470
416,0.143712325
417,0.017138350
418,0.612493081
419,0.012587869
420,0.864477486
421,0.417369188
422,0.000325525
423,0.062957349
424,0.034736648
425,0.007722929
426,0.035051720
427,0.027969013
428,0.000000000
429,0.018096821
430,0.176992096
431,0.000000000
432,0.044553251
433,0.621002371
434,0.528559801
435,0.023958896
436,0.255437946
437,0.179152427
438,0.000325525
439,0.693605365
440,0.018737991
441,0.160743981
442,0.026056598
443,0.043490414
444,0.000325525
445,0.077612500
446,0.002699654
447,0.841180443
448,0.000325525
449,0.058422821
450,0.016526908
451,0.150788994
452,0.000325525
453,0.056797165
454,0.033207801
455,0.197627634
456,0.420631497
457,0.045643708
458,0.554354691
459,0.734142028
460,0.477315031
461,0.237097963
462,0.002346132
463,0.233095559
464,0.000000000
465,0.107410594
