id,Label,loan_amnt,,int_rate,installment,grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,dti,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc
1,10.65,5000,36,0.1065,162.87,2,1,24000,1,40878,2,27.65,31048,1,3,0,13648,0.837,9
2,15.27,2500,60,0.1527,59.83,3,1,30000,3,40878,2,1,36251,5,3,0,1687,0.094,4
3,15.96,2400,36,0.1596,84.33,3,1,12252,2,40878,2,8.72,37196,2,2,0,2956,0.985,10
4,13.49,10000,36,0.1349,339.31,3,1,49200,3,40878,2,20,35096,1,10,0,5598,0.21,37
5,12.69,3000,60,0.1269,67.79,2,1,80000,3,40878,2,17.94,35065,0,15,0,27783,0.539,38
6,7.9,5000,36,0.079,156.46,1,1,36000,3,40878,2,11.2,38292,3,9,0,7963,0.283,12
7,15.96,7000,60,0.1596,170.08,3,1,47004,2,40878,2,23.51,38534,1,7,0,17726,0.856,11
8,18.64,3000,36,0.1864,109.43,5,1,48000,3,40878,2,5.35,39083,2,4,0,8221,0.875,4
9,21.28,5600,60,0.2128,152.39,6,3,40000,3,40878,2,5.55,38078,2,11,0,5210,0.326,13
10,12.69,5375,60,0.1269,121.45,2,1,15000,1,40878,2,18.08,38231,0,2,0,9279,0.365,3
11,14.65,6500,60,0.1465,153.45,3,3,72000,2,40878,2,16.12,35796,2,14,0,4032,0.206,23
12,12.69,12000,36,0.1269,402.54,2,3,75000,3,40878,2,10.78,32782,0,12,0,23336,0.671,34
13,13.49,9000,36,0.1349,305.38,3,1,30000,3,40878,2,10.08,38078,1,4,0,10452,0.917,9
14,9.91,3000,36,0.0991,96.68,2,1,15000,3,40878,2,12.56,37803,2,11,0,7323,0.431,11
15,10.65,10000,36,0.1065,325.74,2,1,100000,3,40878,2,7.06,33359,2,14,0,11997,0.555,29
16,16.29,1000,36,0.1629,35.31,4,1,28000,2,40878,2,20.31,39326,1,11,0,6524,0.815,23
17,15.27,10000,36,0.1527,347.98,3,1,42000,2,40878,2,18.6,36069,2,14,0,24043,0.702,28
18,6.03,3600,36,0.0603,109.57,1,2,110000,2,40878,2,10.52,34182,0,20,0,22836,0.16,42
19,11.71,6000,36,0.1171,198.46,2,2,84000,1,40878,2,18.44,37895,0,4,0,0,0.3773,14
20,6.03,9200,36,0.0603,280.01,1,1,77385.19,2,40878,2,9.86,36892,0,8,0,7314,0.231,28
21,15.27,20250,60,0.1527,484.63,3,1,43370,1,40878,2,26.53,35735,3,8,0,17813,0.856,22
22,12.42,21000,36,0.1242,701.73,2,1,105000,1,40878,2,13.22,30348,0,7,0,32135,0.903,38
23,11.71,10000,36,0.1171,330.76,2,3,50000,3,40878,2,11.18,31229,0,8,0,10056,0.824,21
24,11.71,10000,36,0.1171,330.76,2,1,50000,2,40878,2,16.01,37712,0,6,0,17800,0.918,17
25,11.71,6000,36,0.1171,198.46,2,1,76000,2,40878,2,2.4,37043,1,7,0,5963,0.297,7
26,9.91,15000,36,0.0991,483.38,2,2,92000,1,40878,2,29.44,37288,0,8,0,13707,0.939,31
27,14.27,15000,36,0.1427,514.64,3,1,60000,2,40878,2,15.22,37895,1,7,0,5872,0.576,11
28,16.77,5000,60,0.1677,123.65,4,1,50004,2,40878,2,13.97,37895,0,14,0,4345,0.595,22
29,11.71,4000,36,0.1171,132.31,2,2,106000,2,40878,2,5.63,30895,0,12,0,6110,0.377,44
30,11.71,8500,36,0.1171,281.15,2,1,25000,3,40878,2,12.19,39022,0,8,0,6441,0.591,12
31,7.51,4375,36,0.0751,136.11,1,2,17108,3,40878,2,20.34,32112,0,6,0,11210,0.869,12
32,7.9,31825,36,0.079,995.82,1,2,75000,1,40878,2,14.03,29891,0,12,0,23151,0.274,26
33,15.96,10000,60,0.1596,242.97,3,1,29120,1,40878,2,22.83,35462,1,11,0,16158,0.636,31
34,8.9,5000,36,0.089,158.77,1,1,24044,1,40878,2,11.93,38443,0,8,0,2224,0.293,16
35,15.96,7000,36,0.1596,245.97,3,1,34000,3,40878,2,6.35,39356,1,6,0,6113,0.605,6
36,10.65,12400,36,0.1065,403.91,2,1,41000,2,40878,2,11.8,38534,2,9,0,11095,0.572,12
37,9.91,10800,36,0.0991,348.03,2,1,55596,3,40878,2,5.5,36861,0,7,0,2535,0.133,18
38,7.9,15000,36,0.079,469.36,1,1,45000,1,40878,2,8.48,38292,0,7,0,6704,0.504,27
39,12.42,6000,36,0.1242,200.5,2,1,36852,3,40878,2,10.62,39173,1,7,0,7310,0.665,12
40,12.69,12500,60,0.1269,282.44,2,1,27000,1,40878,2,16.04,37226,3,6,0,10143,0.5,24
